Número de n,Tiempo Burbuja,Tiempo Inserción,Tiempo  Selección,Tiempo Shell, Tiempo Merge, Tiempo Quick,
,,,,,,,
500,0.0000000000 segundos, 0.0010000000 segundos, 0.0000000000 segundos, 0.0000000000 segundos, 0.0000000000 segundos, 0.0000000000 segundos, 
1000,0.0020000000 segundos, 0.0010000000 segundos, 0.0010000000 segundos, 0.0010000000 segundos, 0.0000000000 segundos, 0.0000000000 segundos, 
5000,0.0650000000 segundos, 0.0200000000 segundos, 0.0320000000 segundos, 0.0020000000 segundos, 0.0020000000 segundos, 0.0000000000 segundos, 
10000,0.2720000000 segundos, 0.0650000000 segundos, 0.1130000000 segundos, 0.0050000000 segundos, 0.0020000000 segundos, 0.0010000000 segundos, 
50000,6.5240000000 segundos, 1.6860000000 segundos, 2.6980000000 segundos, 0.0380000000 segundos, 0.0110000000 segundos, 0.0070000000 segundos, 
100000,27.1970000000 segundos, 6.6940000000 segundos, 10.7520000000 segundos, 0.1000000000 segundos, 0.0240000000 segundos, 0.0160000000 segundos, 
200000,117.6850000000 segundos, 31.7270000000 segundos, 42.7810000000 segundos, 0.2270000000 segundos, 0.0540000000 segundos, 0.0280000000 segundos, 
500000,719.6350000000 segundos, 171.6930000000 segundos, 271.0570000000 segundos, 0.6500000000 segundos, 0.1400000000 segundos, 0.0760000000 segundos, 
750000,1608.0100000000 segundos, 616.1310000000 segundos, 594.2100000000 segundos, 0.9910000000 segundos, 0.2120000000 segundos, 0.1230000000 segundos, 
1000000,2854.9140000000 segundos, 1119.1550000000 segundos, 1067.8320000000 segundos, 1.5290000000 segundos, 0.2800000000 segundos, 0.1620000000 segundos, 
